PId,averageAMPs_q1,averageAMPs_q2,averageAMPs_q3,averageAMPs_q4,group,lossCount,ratioWins_q1,ratioWins_q2,ratioWins_q3,ratioWins_q4,sex,totalMatches_q1,totalMatches_q2,totalMatches_q3,totalMatches_q4,totalTime_q1,totalTime_q2,totalTime_q3,totalTime_q4,trainingMatches,trainingMatchesLvl_Count_Cheater_1_Vision,trainingMatchesLvl_Count_Easy,trainingMatchesLvl_Count_Elite,trainingMatchesLvl_Count_Hard,trainingMatchesLvl_Count_Harder,trainingMatchesLvl_Count_Medium,trainingMatchesLvl_Count_Very_Easy,trainingMatchesLvl_Count_Very_Hard,trainingMatchesLvl_SQ_Cheater_1_Vision,trainingMatchesLvl_SQ_Easy,trainingMatchesLvl_SQ_Elite,trainingMatchesLvl_SQ_Hard,trainingMatchesLvl_SQ_Harder,trainingMatchesLvl_SQ_Medium,trainingMatchesLvl_SQ_Very_Easy,trainingMatchesLvl_SQ_Very_Hard,trainingMatchesLvl_Time_Cheater_1_Vision,trainingMatchesLvl_Time_Easy,trainingMatchesLvl_Time_Elite,trainingMatchesLvl_Time_Hard,trainingMatchesLvl_Time_Harder,trainingMatchesLvl_Time_Medium,trainingMatchesLvl_Time_Very_Easy,trainingMatchesLvl_Time_Very_Hard,trainingTime,winCount,winsRatio
3018,18.506895328861223,21.139868835118836,21.588931233401308,21.13973264136007,3,51,0.7666666666666667,0.5161290322580645,0.4827586206896552,0.5,1,30,31,29,28,26962,26849,27016,25439,118,,4,,38,62,9,5,,,53.58310645569546,,69.56120260500029,69.90208035570751,59.01309958245736,49.73062293357654,,,3865,,35464,54148,8410,4379,,106266,67,0.5677966101694916
3024,21.362625761666063,27.11049201311265,27.044690949561506,26.39459236219803,3,46,0.7391304347826086,0.56,0.5806451612903226,0.4838709677419355,2,23,25,31,31,26669,26146,26410,24187,110,,7,,30,42,13,4,14,,33.05762045239834,,44.320822914341335,53.62473220357094,30.18563754946345,25.7795412875478,66.07890253483936,,7332,,29796,35444,15961,4210,10669,103412,64,0.5818181818181818
3023,19.782608695652062,,,,3,0,1.0,,,,1,1,,,,1183,,,,1,,,,,,,1,,,,,,,,-4.079333540091653,,,,,,,,1183,,1183,1,1.0
3012,12.877319363569905,15.874198611321143,17.10916962174387,19.186371812145495,3,38,0.8,0.5,0.5652173913043478,0.5,2,20,24,23,24,27191,26938,26704,24125,91,,4,,36,11,33,6,1,,34.72607904045182,,51.611604261897554,55.35139950710311,42.43936690314305,28.559305832646515,52.935945984539046,,5341,,38732,9293,43363,7411,818,104958,53,0.5824175824175825
3013,49.19136127634525,25.06442437857024,27.646536541299454,29.245142664685492,3,38,0.8076923076923077,0.48148148148148145,0.5416666666666666,0.5789473684210527,2,26,27,24,19,27804,28120,28517,25913,96,,4,,37,42,8,5,,,64.44732444347872,,50.02547590071555,45.29542859021018,52.75755038840637,42.49274137876833,,,3668,,41676,52391,7230,5389,,110354,58,0.6041666666666666
3025,20.258840507369175,24.677292981177224,25.73073607368889,25.25179405795302,3,45,0.782608695652174,0.5714285714285714,0.5517241379310345,0.4642857142857143,2,23,28,29,28,24826,24864,24605,24075,108,,5,,44,35,17,4,3,,54.39728763574129,,93.11237216930564,81.98912459161613,90.0468012066417,42.75163378767803,88.44804097443617,,6168,,41962,29625,15142,4289,1184,98370,63,0.5833333333333334
3011,22.263225954096445,24.983223990596134,30.033823435970206,35.22197372720315,3,34,0.7222222222222222,0.5238095238095238,0.38095238095238093,0.6,2,18,21,21,15,22663,22559,22885,20228,75,,14,,16,1,36,8,,,29.555808913544126,,53.11415394786013,89.70393329992754,43.847284975284,23.282848192828027,,,17413,,19542,559,40701,10120,,88335,41,0.5466666666666666
3016,19.003629783585474,26.291205953320695,29.628296449389563,30.775909768157458,3,22,0.8571428571428571,0.6666666666666666,0.4666666666666667,0.42857142857142855,2,14,12,15,14,10498,10431,10260,9735,55,,4,,33,1,12,5,,,58.05892873077343,,66.90512579915901,72.45330419492387,63.75493168490735,44.24790993749602,,,2687,,23858,1000,9660,3719,,40924,33,0.6
3017,17.90238432054001,22.547996600318452,24.37490188906693,26.49442518380641,3,40,0.7727272727272727,0.4583333333333333,0.6071428571428571,0.5217391304347826,2,22,24,28,23,26283,26470,26791,24764,97,,4,,31,16,39,6,1,,29.369903571571598,,64.59810202135264,76.19146593695265,47.9028401505125,18.405937169964574,83.35059554629836,,4277,,28052,16406,48774,6200,599,104308,57,0.5876288659793815
3014,28.012597678236816,38.11676748266956,33.348027953945056,32.41850740585479,3,34,0.7391304347826086,0.5,0.5454545454545454,0.6190476190476191,2,23,20,22,21,25834,25662,25810,22693,86,,26,,7,,48,5,,,49.955366736784754,,81.67914977692686,,53.79597297290081,25.735912880406914,,,26989,,7505,,60159,5346,,99999,52,0.6046511627906976
